basin,NH_NSE,GNN_NSE,improvement
13001,0.7956098549323056,0.802314143454733,0.006704288522427326
69015,0.8622362117062633,0.8689202118748713,0.00668400016860804
25029,0.8833415520692148,0.8898654066834212,0.006523854614206348
41013,0.7441317576452395,0.7506192783399853,0.006487520694745785
54034,0.8673354399229658,0.8737654671976898,0.006430027274723971
74001,0.918355497371608,0.924723807571896,0.006368310200287941
55007,0.8957610057255677,0.9021086473247184,0.0063476415991506885
40005,0.8391034283894572,0.845194168363474,0.006090739974016879
27034,0.8880082143381905,0.894096507819463,0.006088293481272489
53018,0.8995278651621668,0.9055910494611616,0.006063184298994884
67005,0.93773653270935,0.9437950141938553,0.006058481484505274
27077,0.7297771551094883,0.7357935777992812,0.006016422689792966
53007,0.902224681445043,0.9081897227738444,0.005965041328801379
79004,0.9171563659989584,0.9230897773475516,0.005933411348593154
74007,0.8861098030244364,0.891979543136074,0.005869740111637545
84004,0.9157196321003772,0.9215510262333048,0.005831394132927548
28023,0.9055572734167374,0.911353843073748,0.005796569657010586
54028,0.8803217031126412,0.8860732208344414,0.005751517721800159
48011,0.937345097474644,0.9430962265954956,0.005751129120851628
47001,0.9298696852601218,0.9355982499258502,0.005728564665728353
7002,0.7910405480933258,0.7966579815597358,0.005617433466409971
39049,0.7032981201284199,0.7089122853977541,0.005614165269334226
19017,0.8947207547482563,0.9003033636714151,0.0055826089231587606
73009,0.9118283377441516,0.9174061441757524,0.005577806431600774
65001,0.8827138857739829,0.888217136866651,0.005503251092668138
79006,0.8852112082000714,0.8907127463152487,0.005501538115177285
34006,0.8800462159621141,0.8854607025248208,0.005414486562706711
66001,0.9277910935216686,0.9332015320918768,0.005410438570208287
34004,0.776807558214306,0.7821790395178182,0.005371481303512171
21015,0.8275763831428429,0.8329042346987505,0.005327851555907648
15011,0.7831416699327298,0.7884412705731765,0.005299600640446656
54052,0.8785557044049154,0.883759993075835,0.005204288670919599
18003,0.8845835100720527,0.8897869585869109,0.005203448514858211
56013,0.90810453754398,0.9132407940755152,0.005136256531535155
34003,0.8603954532621447,0.8655093435788231,0.0051138903166784155
54080,0.7591422075954761,0.7642413616436046,0.00509915404812844
54029,0.9333904090108148,0.9384883949587828,0.0050979859479679535
18010,0.8993385690925476,0.9044290250661235,0.005090455973575936
50011,0.8680227939636616,0.8731049824345384,0.005082188470876825
28116,0.748778938112429,0.7537509524725694,0.0049720143601403866
67015,0.9341154014826948,0.9390199818719503,0.004904580389255564
21016,0.8598113176248507,0.8646833126562509,0.004871995031400123
72004,0.8206959083204131,0.8255451712606705,0.004849262940257448
17005,0.8886136616177285,0.8932407700313442,0.004627108413615688
80006,0.8456002394442282,0.8500760841803593,0.004475844736131052
94001,0.9124112398601092,0.9168127477689636,0.004401507908854407
3003,0.8077251779078292,0.8120559386572996,0.004330760749470475
84020,0.8013146709389893,0.805609397548616,0.004294726609626709
31006,0.8578842612845234,0.8621576635052859,0.004273402220762446
66011,0.8754352567080761,0.8796480718211819,0.004212815113105783
53005,0.9303794852434288,0.9344353073096022,0.004055822066173387
